ID,Numeric,plaintext,original_plaintext,Encrypted_Numeric,Encrypted_ID,Decrypted_Numeric,Decrypted_ID,Status,plus50,Swap_Index
W887080676,7287080676,228708067,728708067,634724298,N847242988,228708067,W887080676,FIXED_50,True,-1
F949252344,8049252344,804925234,804925234,690948673,T809486730,804925234,F949252344,OK,False,-1
B228270808,2628270808,262827080,262827080,147356133,O173561336,262827080,B228270808,OK,False,-1
P164058049,1564058049,656405804,156405804,446491467,T264914673,656405804,P164058049,SWAPPED,True,4
P942648250,9042648250,404264825,904264825,963213879,V932138798,404264825,P942648250,SWAPPED,True,5
H164576181,0764576181,076457618,076457618,274837795,C248377952,076457618,H164576181,OK,False,-1
Z219050058,4919050058,991905005,491905005,013777995,B137779956,991905005,Z219050058,FIXED_50,True,-1
M909187970,8709187970,870918797,870918797,997199063,Z971990637,870918797,M909187970,OK,False,-1
V826394895,7126394895,712639489,712639489,696969318,T869693180,712639489,V826394895,OK,False,-1
O996286896,8996286896,899628689,899628689,971257376,W912573766,899628689,O996286896,OK,False,-1
Q883390003,6683390003,668339000,668339000,859704978,K997049786,668339000,Q883390003,OK,False,-1
L217200030,3617200030,361720003,361720003,019503711,B195037113,361720003,L217200030,OK,False,-1
V133554254,2133554254,713355425,213355425,291942016,E219420160,713355425,V133554254,FIXED_50,True,-1
L262058193,3662058193,866205819,366205819,147263349,O172633495,866205819,L262058193,FIXED_50,True,-1
A837211818,5037211818,503721181,503721181,946172075,T961720753,503721181,A837211818,OK,False,-1
P988162582,9088162582,908816258,908816258,786850476,D968504763,908816258,P988162582,OK,False,-1
K202996083,3502996083,850299608,350299608,348328826,J283288261,850299608,K202996083,SWAPPED,True,18
H800909322,5700909322,570090932,570090932,534686997,D846869978,570090932,H800909322,OK,False,-1
Z847652591,7447652591,744765259,744765259,649079341,O890793416,744765259,Z847652591,OK,False,-1
O112586831,1412586831,141258683,141258683,373731937,M237319371,141258683,O112586831,OK,False,-1
V946319961,9646319961,964631996,964631996,675698548,R856985480,964631996,V946319961,OK,False,-1
D845224699,5345224699,534522469,534522469,501623308,A816233083,534522469,D845224699,OK,False,-1
S158296536,1858296536,685829653,185829653,371661919,M216619198,685829653,S158296536,FIXED_50,True,-1
P886325712,6586325712,658632571,658632571,533446557,D834465577,658632571,P886325712,OK,False,-1
B118007024,0118007024,011800702,011800702,042467611,E124676118,011800702,B118007024,OK,False,-1
N898800381,6398800381,639880038,639880038,664366781,Q843667810,639880038,N898800381,OK,False,-1
K241187037,3541187037,354118703,354118703,452329537,U223295374,354118703,K241187037,OK,False,-1
N926478328,8826478328,382647832,882647832,994160822,Z941608224,382647832,N926478328,SWAPPED,True,28
R977026200,9277026200,927702620,927702620,748414279,Z884142796,927702620,R977026200,OK,False,-1
M900483551,8700483551,870048355,870048355,978993762,W989937625,870048355,M900483551,SWAPPED,False,30
T869008501,6969008501,696900850,696900850,758040826,A980408267,696900850,T869008501,OK,False,-1
W982180182,9782180182,478218018,978218018,505206128,A852061289,478218018,W982180182,SWAPPED,True,32
C997884644,7797884644,779788464,779788464,512546436,B825464364,779788464,C997884644,OK,False,-1
O953801611,8953801611,895380161,895380161,744093765,Z840937653,895380161,O953801611,OK,False,-1
K978168088,8578168088,357816808,857816808,755756535,A957565355,357816808,K978168088,FIXED_50,True,-1
L998256132,8698256132,369825613,869825613,785310712,D953107127,369825613,L998256132,SWAPPED,True,36
U250299235,4550299235,455029923,455029923,017547459,B175474594,455029923,U250299235,OK,False,-1
S802034380,6802034380,180203438,680203438,982435509,X924355098,180203438,S802034380,FIXED_50,True,-1
Z211904228,4911904228,491190422,491190422,166131127,Q161311273,491190422,Z211904228,OK,False,-1
M152590165,1252590165,125259016,125259016,366434646,L264346463,125259016,M152590165,OK,False,-1
L212808438,3612808438,361280843,361280843,100044950,K100449507,361280843,L212808438,OK,False,-1
S824358405,6824358405,682435840,682435840,990656439,Z906564396,682435840,S824358405,OK,False,-1
X928336955,9828336955,982833695,982833695,912052735,Q920527351,982833695,X928336955,OK,False,-1
K236652732,3536652732,353665273,353665273,219367752,V193677527,353665273,K236652732,OK,False,-1
H167034000,0767034000,576703400,076703400,141423152,O114231526,576703400,H167034000,FIXED_50,True,-1
J128655637,0928655637,092865563,092865563,498688405,Z286884053,092865563,J128655637,SWAPPED,False,46
D146108289,0346108289,034610828,034610828,256928877,A269288770,034610828,D146108289,OK,False,-1
U811976802,7011976802,701197680,701197680,945398110,T953981108,701197680,U811976802,OK,False,-1
P160506615,1560506615,656050661,156050661,416344009,Q263440091,656050661,P160506615,SWAPPED,True,50
F280172629,3080172629,308017262,308017262,127501144,M175011443,308017262,F280172629,OK,False,-1
C174915319,0274915319,027491531,027491531,445613489,T256134894,027491531,C174915319,SWAPPED,False,51
A161137210,0061137210,006113721,006113721,032140510,D121405107,006113721,A161137210,OK,False,-1
I151300061,0851300061,585130006,085130006,064036522,G140365229,585130006,I151300061,FIXED_50,True,-1
J849152493,5949152493,094915249,594915249,841898211,J918982114,094915249,J849152493,FIXED_50,True,-1
J951672322,8451672322,845167232,845167232,783748264,D937482643,845167232,J951672322,OK,False,-1
L107616882,1107616882,610761688,110761688,183255342,S132553429,610761688,L107616882,FIXED_50,True,-1
T103176320,1903176320,190317632,190317632,008779136,A187791367,190317632,T103176320,OK,False,-1
X269741485,4869741485,986974148,486974148,439626860,S296268609,986974148,X269741485,FIXED_50,True,-1
I160410025,0860410025,086041002,086041002,063718006,G137180061,086041002,I160410025,OK,False,-1
T160909414,1960909414,196090941,196090941,007924578,A179245785,196090941,T160909414,OK,False,-1
T959519553,9459519553,445951955,945951955,746070859,Z860708596,445951955,T959519553,FIXED_50,True,-1
X120877588,2320877588,732087758,232087758,177569822,R175698220,732087758,X120877588,FIXED_50,True,-1
G280951041,3180951041,318095104,318095104,122293389,M122933894,318095104,G280951041,OK,False,-1
X163316173,2363316173,736331617,236331617,198840318,T188403184,736331617,X163316173,FIXED_50,True,-1
V921522453,9621522453,962152245,962152245,635150828,N851508284,962152245,V921522453,SWAPPED,False,65
A827287828,5027287828,502728782,502728782,530872231,D808722314,502728782,A827287828,OK,False,-1
V288946277,4688946277,968894627,468894627,437017694,S270176946,968894627,V288946277,FIXED_50,True,-1
H282057850,3282057850,328205785,328205785,216591779,V165917794,328205785,H282057850,SWAPPED,False,68
Z949085018,9949085018,494908501,994908501,792178358,E921783587,494908501,Z949085018,FIXED_50,True,-1
Q131841893,1631841893,663184189,163184189,489264738,X292647385,663184189,Q131841893,FIXED_50,True,-1
C868716484,5268716484,026871648,526871648,789211260,D992112608,026871648,C868716484,FIXED_50,True,-1
R297193431,4297193431,429719343,429719343,316574252,G265742528,429719343,R297193431,OK,False,-1
D162242571,0362242571,036224257,036224257,100916083,K109160838,036224257,D162242571,OK,False,-1
D803106749,5303106749,530310674,530310674,559635378,F896353785,530310674,D803106749,OK,False,-1
D948090697,7848090697,284809069,784809069,605702840,K857028407,284809069,D948090697,FIXED_50,True,-1
H856711732,5756711732,575671173,575671173,906292164,P962921643,575671173,H856711732,OK,False,-1
X920246721,9820246721,982024672,982024672,612409965,L824099656,982024672,X920246721,OK,False,-1
Q955425619,9155425619,415542561,915542561,769840081,B998400810,415542561,Q955425619,FIXED_50,True,-1
V193841545,2193841545,719384154,219384154,499904619,Z299046192,719384154,V193841545,FIXED_50,True,-1
W818650297,7218650297,221865029,721865029,853977403,K939774033,221865029,W818650297,FIXED_50,True,-1
G208171765,3108171765,810817176,310817176,395001381,O250013811,810817176,G208171765,FIXED_50,True,-1
W110727564,2210727564,221072756,221072756,133701245,N137012456,221072756,W110727564,OK,False,-1
C133771526,0233771526,023377152,023377152,374686886,M246868869,023377152,C133771526,OK,False,-1
