ID,Numeric,original_plaintext,plaintext,Encrypted_Numeric,Encrypted_ID,Decrypted_Numeric,Decrypted_ID,Status,plus50,Swap_Index
Q152157976,1652157976,165215797,165215797,332183445,I221834458,165215797,Q152157976,OK,False,-1
E287318686,2987318686,298731868,298731868,582852772,I828527725,298731868,E287318686,OK,False,-1
T919617730,9419617730,941961773,941961773,709586530,U895865304,941961773,T919617730,OK,False,-1
B243674571,2643674571,264367457,264367457,487566115,X275661158,264367457,B243674571,OK,False,-1
Z288310476,4988310476,498831047,498831047,231672620,X116726201,498831047,Z288310476,OK,False,-1
B240901697,2640901697,264090169,264090169,436282710,S262827103,264090169,B240901697,OK,False,-1
M882319636,6282319636,628231963,628231963,296747580,E267475804,628231963,M882319636,OK,False,-1
R991843294,9291843294,929184329,929184329,169837585,Q198375854,929184329,R991843294,OK,False,-1
O956406850,8956406850,895640685,895640685,041892474,E118924747,895640685,O956406850,OK,False,-1
T220786493,4420786493,442078649,442078649,122013036,M120130368,442078649,T220786493,OK,False,-1
S229488200,4329488200,432948820,432948820,509783914,A897839145,432948820,S229488200,OK,False,-1
F299208552,3099208552,309920855,309920855,645469759,O854697593,309920855,F299208552,OK,False,-1
Q118526919,1618526919,161852691,161852691,670384081,R803840818,161852691,Q118526919,OK,False,-1
S974303783,9374303783,937430378,937430378,205513889,U155138897,937430378,S974303783,OK,False,-1
W888864238,7288864238,728886423,728886423,085752504,I157525044,728886423,W888864238,OK,False,-1
A984081833,7584081833,758408183,758408183,574335438,H843354385,758408183,A984081833,OK,False,-1
A960158891,7560158891,756015889,756015889,050166207,F101662073,756015889,A960158891,OK,False,-1
B235810232,2635810232,263581023,263581023,061072749,G110727499,263581023,B235810232,OK,False,-1
C280621919,2780621919,278062191,278062191,450211420,U202114203,278062191,C280621919,OK,False,-1
H205498000,3205498000,320549800,320549800,377908795,M279087954,320549800,H205498000,OK,False,-1
U973237611,9573237611,957323761,957323761,472696647,W226966471,957323761,U973237611,OK,False,-1
X220301116,4820301116,482030111,482030111,098631318,J186313189,482030111,X220301116,OK,False,-1
J139315635,0939315635,093931563,093931563,909553826,P995538265,093931563,J139315635,OK,False,-1
N880695965,6380695965,638069596,638069596,692798188,T827981881,638069596,N880695965,OK,False,-1
W174466846,2274466846,227446684,227446684,001543147,A115431474,227446684,W174466846,OK,False,-1
D988593757,7888593757,788859375,788859375,485662263,X256622631,788859375,D988593757,OK,False,-1
D990570675,7890570675,789057067,789057067,181565755,S115657553,789057067,D990570675,OK,False,-1
C130060008,0230060008,023006000,023006000,143539838,O135398384,023006000,C130060008,OK,False,-1
G228851004,3128851004,312885100,312885100,036835724,D168357240,312885100,G228851004,OK,False,-1
T957858271,9457858271,945785827,945785827,118645425,L186454257,945785827,T957858271,OK,False,-1
A829128868,5029128868,502912886,502912886,888435044,N984350441,502912886,A829128868,OK,False,-1
U901307342,9501307342,950130734,950130734,393511558,O235115583,950130734,U901307342,OK,False,-1
B104245767,0104245767,010424576,010424576,234816028,X148160282,010424576,B104245767,OK,False,-1
M986245148,8786245148,878624514,878624514,391723388,O217233882,878624514,M986245148,OK,False,-1
S215307498,4315307498,431530749,431530749,759800685,A998006857,431530749,S215307498,OK,False,-1
C148307298,0248307298,024830729,024830729,942479070,T924790700,024830729,C148307298,OK,False,-1
P143309425,1543309425,154330942,154330942,825317837,H953178371,154330942,P143309425,OK,False,-1
J180689193,0980689193,098068919,098068919,875286867,M952868673,098068919,J180689193,OK,False,-1
K283441554,3583441554,358344155,358344155,463709599,V237095990,358344155,K283441554,OK,False,-1
F253015337,3053015337,305301533,305301533,341107724,J211077241,305301533,F253015337,OK,False,-1
Q979661064,9179661064,917966106,917966106,227469176,W174691769,917966106,Q979661064,OK,False,-1
B101436015,0101436015,010143601,010143601,208494167,U184941675,010143601,B101436015,OK,False,-1
C225432101,2725432101,272543210,272543210,337063665,I270636659,272543210,C225432101,OK,False,-1
Z118051620,2418051620,241805162,241805162,233761512,X137615123,241805162,Z118051620,OK,False,-1
E929430289,7929430289,792943028,792943028,901404349,P914043496,792943028,E929430289,OK,False,-1
W105819804,2205819804,220581980,220581980,364661283,L246612839,220581980,W105819804,OK,False,-1
K874909741,6074909741,607490974,607490974,360938354,L209383548,607490974,K874909741,OK,False,-1
Q111020236,1611020236,161102023,161102023,995840208,Z958402081,161102023,Q111020236,OK,False,-1
L154655480,1154655480,115465548,115465548,680174632,S801746327,115465548,L154655480,OK,False,-1
B240757859,2640757859,264075785,264075785,099993720,J199937200,264075785,B240757859,OK,False,-1
W881015291,7281015291,728101529,728101529,936815142,S968151424,728101529,W881015291,OK,False,-1
E849965950,5449965950,544996595,544996595,606077217,K860772174,544996595,E849965950,OK,False,-1
O231167072,3931167072,393116707,393116707,391066981,O210669811,393116707,O231167072,OK,False,-1
M940071259,8740071259,874007125,874007125,978101948,W981019488,874007125,M940071259,OK,False,-1
S815171543,6815171543,681517154,681517154,332336783,I223367834,681517154,S815171543,OK,False,-1
P960661939,9060661939,906066193,906066193,596475479,J864754797,906066193,P960661939,OK,False,-1
A893550643,5093550643,509355064,509355064,023612680,C136126809,509355064,A893550643,OK,False,-1
V878258155,7178258155,717825815,717825815,668509766,Q885097667,717825815,V878258155,OK,False,-1
J969897717,8469897717,846989771,846989771,097722299,J177222997,846989771,J969897717,OK,False,-1
L829322374,6129322374,612932237,612932237,271136741,C211367413,612932237,L829322374,OK,False,-1
L141092399,1141092399,114109239,114109239,665004028,Q850040285,114109239,L141092399,OK,False,-1
F199780771,0599780771,059978077,059978077,288281685,D282816855,059978077,F199780771,OK,False,-1
N255593367,3855593367,385559336,385559336,164437052,Q144370527,385559336,N255593367,OK,False,-1
D295402203,2895402203,289540220,289540220,253767963,A237679630,289540220,D295402203,OK,False,-1
Z160764787,2460764787,246076478,246076478,837317396,I973173966,246076478,Z160764787,OK,False,-1
P953883925,9053883925,905388392,905388392,310758071,G207580715,905388392,P953883925,OK,False,-1
Q917466063,9117466063,911746606,911746606,199957008,T199570089,911746606,Q917466063,OK,False,-1
W125005360,2225005360,222500536,222500536,542153760,E821537609,222500536,W125005360,OK,False,-1
N844863154,6344863154,634486315,634486315,398548413,O285484131,634486315,N844863154,OK,False,-1
W264769805,4764769805,476476980,476476980,138085536,N180855369,476476980,W264769805,OK,False,-1
Q292982848,4192982848,419298284,419298284,755209992,A952099927,419298284,Q292982848,OK,False,-1
L186426351,1186426351,118642635,118642635,213547068,V135470680,118642635,L186426351,OK,False,-1
S952206196,9352206196,935220619,935220619,913287055,Q932870554,935220619,S952206196,OK,False,-1
F983911917,8083911917,808391191,808391191,409910990,P299109908,808391191,F983911917,OK,False,-1
O219666101,3919666101,391966610,391966610,321560619,H215606194,391966610,O219666101,OK,False,-1
B996663355,7696663355,769666335,769666335,462974752,V229747529,769666335,B996663355,OK,False,-1
T214164061,4414164061,441416406,441416406,328785281,H287852819,441416406,T214164061,OK,False,-1
V197103297,2197103297,219710329,219710329,934016404,S940164049,219710329,V197103297,OK,False,-1
T948995627,9448995627,944899562,944899562,930670159,S906701599,944899562,T948995627,OK,False,-1
B266705202,2666705202,266670520,266670520,758966675,A989666756,266670520,B266705202,OK,False,-1
G126558106,0626558106,062655810,062655810,053049380,F130493804,062655810,G126558106,OK,False,-1
R207541216,4207541216,420754121,420754121,944749881,T947498816,420754121,R207541216,OK,False,-1
H844833929,5744833929,574483392,574483392,814773085,G947730855,574483392,H844833929,OK,False,-1
G120277157,0620277157,062027715,062027715,201653564,U116535647,062027715,G120277157,OK,False,-1
F241026071,3041026071,304102607,304102607,397927651,O279276516,304102607,F241026071,OK,False,-1
Z926564963,9926564963,992656496,992656496,718717421,V887174215,992656496,Z926564963,OK,False,-1
X106599381,2306599381,230659938,230659938,798914554,E989145541,230659938,X106599381,OK,False,-1
