ID,Numeric,original_plaintext,plaintext,Encrypted_Numeric,Encrypted_ID,Decrypted_Numeric,Decrypted_ID,Status,plus50,Swap_Index
K817031680,6017031680,601703168,601703168,778966011,C989660112,601703168,K817031680,OK,False,-1
A289768895,2589768895,258976889,258976889,913618014,Q936180140,258976889,A289768895,OK,False,-1
W137824802,2237824802,223782480,223782480,487529715,X275297158,223782480,W137824802,OK,False,-1
V154917617,2154917617,215491761,215491761,106970781,K169707811,215491761,V154917617,OK,False,-1
A222676056,2522676056,252267605,252267605,426770875,R267708755,252267605,A222676056,OK,False,-1
S219327807,4319327807,431932780,431932780,651567848,P815678482,431932780,S219327807,OK,False,-1
L941091898,8641091898,864109189,864109189,768846052,B988460528,864109189,L941091898,OK,False,-1
Q239635433,4139635433,413963543,413963543,443548614,T235486142,413963543,Q239635433,OK,False,-1
F159161247,0559161247,055916124,055916124,029185431,C191854315,055916124,F159161247,OK,False,-1
A149697299,0049697299,004969729,004969729,996935714,Z969357140,004969729,A149697299,OK,False,-1
V107952239,2107952239,210795223,210795223,020740913,C107409139,210795223,V107952239,OK,False,-1
Q217337152,4117337152,411733715,411733715,552198661,F821986612,411733715,Q217337152,OK,False,-1
P281751283,4081751283,408175128,408175128,154891726,P148917267,408175128,P281751283,OK,False,-1
R299903757,4299903757,429990375,429990375,645445399,O854453993,429990375,R299903757,OK,False,-1
T186454398,1986454398,198645439,198645439,372598953,M225989532,198645439,T186454398,OK,False,-1
N299860405,3899860405,389986040,389986040,793446822,E934468222,389986040,N299860405,OK,False,-1
G185444174,0685444174,068544417,068544417,805789744,F957897446,068544417,G185444174,OK,False,-1
E287641582,2987641582,298764158,298764158,500518467,A805184677,298764158,E287641582,OK,False,-1
H151145476,0751145476,075114547,075114547,653744529,P837445290,075114547,H151145476,OK,False,-1
E152701984,0452701984,045270198,045270198,044901775,E149017759,045270198,E152701984,OK,False,-1
L915001177,8615001177,861500117,861500117,210519182,V105191827,861500117,L915001177,OK,False,-1
O200677669,3900677669,390067766,390067766,618352338,L883523384,390067766,O200677669,OK,False,-1
E239028984,2939028984,293902898,293902898,580906232,I809062325,293902898,E239028984,OK,False,-1
X133706892,2333706892,233370689,233370689,055101611,F151016110,233370689,X133706892,OK,False,-1
V210816164,4610816164,461081616,461081616,761179398,B911793989,461081616,V210816164,OK,False,-1
Z233658734,4933658734,493365873,493365873,171854565,R118545657,493365873,Z233658734,OK,False,-1
N293380515,3893380515,389338051,389338051,354875256,K248752569,389338051,N293380515,OK,False,-1
R162337076,1762337076,176233707,176233707,750799809,A907998091,176233707,R162337076,OK,False,-1
O163230084,1463230084,146323008,146323008,101499860,K114998602,146323008,O163230084,OK,False,-1
D273280605,2873280605,287328060,287328060,635949940,N859499406,287328060,D273280605,OK,False,-1
V107825924,2107825924,210782592,210782592,053514914,F135149141,210782592,V107825924,OK,False,-1
K198764928,1098764928,109876492,109876492,622642527,M826425271,109876492,K198764928,OK,False,-1
H222724116,3222724116,322272411,322272411,686738898,S867388989,322272411,H222724116,OK,False,-1
J138771200,0938771200,093877120,093877120,893315570,O933155707,093877120,J138771200,OK,False,-1
G894842477,5694842477,569484247,569484247,756401890,A964018905,569484247,G894842477,OK,False,-1
Z165459441,2465459441,246545944,246545944,418331389,Q283313899,246545944,Z165459441,OK,False,-1
D934686103,7834686103,783468610,783468610,489696579,X296965795,783468610,D934686103,OK,False,-1
Q152850767,1652850767,165285076,165285076,379506077,M295060775,165285076,Q152850767,OK,False,-1
S238937716,4338937716,433893771,433893771,692472367,T824723672,433893771,S238937716,OK,False,-1
F957764031,8057764031,805776403,805776403,510838228,B808382283,805776403,F957764031,OK,False,-1
P283550935,4083550935,408355093,408355093,144889882,O148898820,408355093,P283550935,OK,False,-1
D957812156,7857812156,785781215,785781215,772937660,C929376608,785781215,D957812156,OK,False,-1
L949590932,8649590932,864959093,864959093,052273169,F122731699,864959093,L949590932,OK,False,-1
B247605116,2647605116,264760511,264760511,474628860,W246288601,264760511,B247605116,OK,False,-1
B189613956,0189613956,018961395,018961395,208287833,U182878339,018961395,B189613956,OK,False,-1
N995765743,8895765743,889576574,889576574,169424147,Q194241473,889576574,N995765743,OK,False,-1
O239878321,3939878321,393987832,393987832,747559202,Z875592028,393987832,O239878321,OK,False,-1
U972685855,9572685855,957268585,957268585,496626452,Z266264528,957268585,U972685855,OK,False,-1
J258883338,3458883338,345888333,345888333,423501450,R235014500,345888333,J258883338,OK,False,-1
A276201738,2576201738,257620173,257620173,140686977,O106869776,257620173,A276201738,OK,False,-1
T184853704,1984853704,198485370,198485370,950937465,U909374658,198485370,T184853704,OK,False,-1
F849057132,5549057132,554905713,554905713,867661785,L976617855,554905713,F849057132,OK,False,-1
K137514631,1037514631,103751463,103751463,703208419,U832084194,103751463,K137514631,OK,False,-1
