ID,Numeric,plaintext,original_plaintext,Encrypted_Numeric,Encrypted_ID,Decrypted_Numeric,Decrypted_ID,Status,plus50,Swap_Index
Q152157976,1652157976,165215797,165215797,332183445,I221834458,165215797,Q152157976,OK,False,-1
E287318686,2987318686,798731868,298731868,054459109,F144591091,798731868,E287318686,FIXED_50,True,-1
T919617730,9419617730,941961773,941961773,709586530,U895865304,941961773,T919617730,OK,False,-1
B243674571,2643674571,264367457,264367457,487566115,X275661158,264367457,B243674571,OK,False,-1
Z288310476,4988310476,498831047,498831047,231672620,X116726201,498831047,Z288310476,OK,False,-1
B240901697,2640901697,264090169,264090169,436282710,S262827103,264090169,B240901697,OK,False,-1
R991843294,9291843294,929184329,929184329,712383618,V823836181,929184329,R991843294,SWAPPED,False,7
M882319636,6282319636,628231963,628231963,879126239,M991262393,628231963,M882319636,OK,False,-1
O956406850,8956406850,395640685,895640685,949802710,T998027101,395640685,O956406850,FIXED_50,True,-1
T220786493,4420786493,442078649,442078649,122013036,M120130368,442078649,T220786493,OK,False,-1
S229488200,4329488200,932948820,432948820,403122575,P231225756,932948820,S229488200,FIXED_50,True,-1
F299208552,3099208552,809920855,309920855,301136739,F211367390,809920855,F299208552,FIXED_50,True,-1
S974303783,9374303783,937430378,937430378,889363383,N993633837,937430378,S974303783,SWAPPED,False,13
W888864238,7288864238,728886423,728886423,760684532,B906845323,728886423,W888864238,SWAPPED,False,14
Q118526919,1618526919,161852691,161852691,111280117,L112801179,161852691,Q118526919,OK,False,-1
A984081833,7584081833,758408183,758408183,574335438,H843354385,758408183,A984081833,OK,False,-1
B235810232,2635810232,263581023,263581023,318503114,G285031142,263581023,B235810232,SWAPPED,False,17
C280621919,2780621919,278062191,278062191,263107011,B231070116,278062191,C280621919,SWAPPED,False,18
A960158891,7560158891,756015889,756015889,812461498,G924614983,756015889,A960158891,OK,False,-1
H205498000,3205498000,320549800,320549800,377908795,M279087954,320549800,H205498000,OK,False,-1
N880695965,6380695965,138069596,638069596,815280005,G952800051,138069596,N880695965,SWAPPED,True,23
X220301116,4820301116,482030111,482030111,098631318,J186313189,482030111,X220301116,OK,False,-1
J139315635,0939315635,593931563,093931563,296679174,E266791747,593931563,J139315635,FIXED_50,True,-1
U973237611,9573237611,957323761,957323761,925026360,R950263601,957323761,U973237611,OK,False,-1
W174466846,2274466846,227446684,227446684,001543147,A115431474,227446684,W174466846,OK,False,-1
D990570675,7890570675,789057067,789057067,636920408,N869204080,789057067,D990570675,SWAPPED,False,26
D988593757,7888593757,288859375,788859375,543538049,E835380494,288859375,D988593757,FIXED_50,True,-1
C130060008,0230060008,023006000,023006000,143539838,O135398384,023006000,C130060008,OK,False,-1
G228851004,3128851004,312885100,312885100,036835724,D168357240,312885100,G228851004,OK,False,-1
T957858271,9457858271,445785827,945785827,715603832,V856038328,445785827,T957858271,FIXED_50,True,-1
A829128868,5029128868,502912886,502912886,888435044,N984350441,502912886,A829128868,OK,False,-1
B104245767,0104245767,010424576,010424576,294146383,E241463831,010424576,B104245767,SWAPPED,False,32
U901307342,9501307342,950130734,950130734,670961814,R809618141,950130734,U901307342,OK,False,-1
M986245148,8786245148,378624514,878624514,521120988,C811209883,378624514,M986245148,FIXED_50,True,-1
C148307298,0248307298,024830729,024830729,251954177,A219541777,024830729,C148307298,SWAPPED,False,35
P143309425,1543309425,154330942,154330942,367002450,L270024503,154330942,P143309425,SWAPPED,False,36
S215307498,4315307498,431530749,431530749,485854805,X258548058,431530749,S215307498,OK,False,-1
J180689193,0980689193,598068919,098068919,103881792,K138817926,598068919,J180689193,FIXED_50,True,-1
K283441554,3583441554,358344155,358344155,463709599,V237095990,358344155,K283441554,OK,False,-1
F253015337,3053015337,305301533,305301533,341107724,J211077241,305301533,F253015337,OK,False,-1
B101436015,0101436015,010143601,010143601,376104905,M261049057,010143601,B101436015,SWAPPED,False,41
Z118051620,2418051620,241805162,241805162,020350182,C103501829,241805162,Z118051620,SWAPPED,False,43
C225432101,2725432101,272543210,272543210,337063665,I270636659,272543210,C225432101,OK,False,-1
Q979661064,9179661064,417966106,917966106,805027882,F950278827,417966106,Q979661064,FIXED_50,True,-1
E929430289,7929430289,792943028,792943028,901404349,P914043496,792943028,E929430289,OK,False,-1
W105819804,2205819804,220581980,220581980,364661283,L246612839,220581980,W105819804,OK,False,-1
K874909741,6074909741,107490974,607490974,526829034,C868290341,107490974,K874909741,FIXED_50,True,-1
L154655480,1154655480,615465548,115465548,330208931,I202089317,615465548,L154655480,SWAPPED,True,48
Q111020236,1611020236,161102023,161102023,359854519,K298545194,161102023,Q111020236,OK,False,-1
B240757859,2640757859,264075785,264075785,099993720,J199937200,264075785,B240757859,OK,False,-1
W881015291,7281015291,728101529,728101529,936815142,S968151424,728101529,W881015291,OK,False,-1
E849965950,5449965950,544996595,544996595,606077217,K860772174,544996595,E849965950,OK,False,-1
O231167072,3931167072,393116707,393116707,391066981,O210669811,393116707,O231167072,OK,False,-1
M940071259,8740071259,874007125,874007125,978101948,W981019488,874007125,M940071259,OK,False,-1
P960661939,9060661939,406066193,906066193,753300441,A933004417,406066193,P960661939,SWAPPED,True,55
S815171543,6815171543,681517154,681517154,954095076,U940950761,681517154,S815171543,OK,False,-1
V878258155,7178258155,717825815,717825815,552946685,F829466859,717825815,V878258155,SWAPPED,False,57
J969897717,8469897717,346989771,846989771,520192266,C801922664,346989771,J969897717,SWAPPED,True,58
A893550643,5093550643,009355064,509355064,617474774,L874747741,009355064,A893550643,FIXED_50,True,-1
L141092399,1141092399,114109239,114109239,316486674,G264866743,114109239,L141092399,SWAPPED,False,60
L829322374,6129322374,612932237,612932237,932476500,S924765000,612932237,L829322374,OK,False,-1
F199780771,0599780771,059978077,059978077,288281685,D282816855,059978077,F199780771,OK,False,-1
N255593367,3855593367,385559336,385559336,164437052,Q144370527,385559336,N255593367,OK,False,-1
D295402203,2895402203,289540220,289540220,253767963,A237679630,289540220,D295402203,OK,False,-1
Z160764787,2460764787,746076478,246076478,452329220,U223292202,746076478,Z160764787,FIXED_50,True,-1
Q917466063,9117466063,911746606,911746606,654118064,P841180640,911746606,Q917466063,SWAPPED,False,66
W125005360,2225005360,722500536,222500536,335917960,I259179604,722500536,W125005360,SWAPPED,True,67
P953883925,9053883925,405388392,905388392,526939041,C869390411,405388392,P953883925,FIXED_50,True,-1
N844863154,6344863154,134486315,634486315,624410376,M844103769,134486315,N844863154,FIXED_50,True,-1
W264769805,4764769805,476476980,476476980,138085536,N180855369,476476980,W264769805,OK,False,-1
L186426351,1186426351,118642635,118642635,149509224,O195092241,118642635,L186426351,SWAPPED,False,71
S952206196,9352206196,435220619,935220619,979178958,W991789586,435220619,S952206196,SWAPPED,True,72
Q292982848,4192982848,419298284,419298284,308862483,F288624835,419298284,Q292982848,OK,False,-1
F983911917,8083911917,308391191,808391191,588071563,I880715632,308391191,F983911917,FIXED_50,True,-1
O219666101,3919666101,391966610,391966610,321560619,H215606194,391966610,O219666101,OK,False,-1
T214164061,4414164061,941416406,441416406,027700310,C177003101,941416406,T214164061,SWAPPED,True,76
B996663355,7696663355,769666335,769666335,870654759,M906547590,769666335,B996663355,OK,False,-1
T948995627,9448995627,444899562,944899562,576231693,H862316930,444899562,T948995627,SWAPPED,True,78
B266705202,2666705202,266670520,266670520,081415338,I114153384,266670520,B266705202,SWAPPED,False,79
V197103297,2197103297,719710329,219710329,322833871,H228338712,719710329,V197103297,FIXED_50,True,-1
G126558106,0626558106,062655810,062655810,053049380,F130493804,062655810,G126558106,OK,False,-1
H844833929,5744833929,574483392,574483392,558031111,F880311119,574483392,H844833929,SWAPPED,False,82
R207541216,4207541216,420754121,420754121,383851707,N238517078,420754121,R207541216,OK,False,-1
G120277157,0620277157,062027715,062027715,201653564,U116535647,062027715,G120277157,OK,False,-1
